Starting training: agents=12 reward=individual contrastive=False device=mps
update=95 steps=589824 elapsed=422s effrank_n=0.704 d_act=0.0000 loss=-0.0896
update=96 steps=595968 elapsed=426s effrank_n=0.705 d_act=0.0000 loss=-0.0989
update=97 steps=602112 elapsed=430s effrank_n=0.701 d_act=0.0000 loss=0.0279
update=98 steps=608256 elapsed=435s effrank_n=0.698 d_act=0.0000 loss=0.0263
update=99 steps=614400 elapsed=439s effrank_n=0.701 d_act=0.0000 loss=-0.0098
update=100 steps=620544 elapsed=444s effrank_n=0.696 d_act=-0.0000 loss=0.0133
update=101 steps=626688 elapsed=448s effrank_n=0.697 d_act=0.0000 loss=-0.1068
update=102 steps=632832 elapsed=452s effrank_n=0.704 d_act=0.0000 loss=-0.0144
update=103 steps=638976 elapsed=457s effrank_n=0.703 d_act=0.0000 loss=0.0309
update=104 steps=645120 elapsed=461s effrank_n=0.701 d_act=0.0000 loss=0.0296
update=105 steps=651264 elapsed=465s effrank_n=0.700 d_act=0.0000 loss=-0.0629
update=106 steps=657408 elapsed=470s effrank_n=0.704 d_act=0.0000 loss=-0.1021
update=107 steps=663552 elapsed=474s effrank_n=0.705 d_act=0.0000 loss=-0.0113
update=108 steps=669696 elapsed=478s effrank_n=0.698 d_act=0.0000 loss=-0.0920
update=109 steps=675840 elapsed=483s effrank_n=0.697 d_act=0.0000 loss=0.0243
update=110 steps=681984 elapsed=487s effrank_n=0.697 d_act=0.0000 loss=0.0305
update=111 steps=688128 elapsed=492s effrank_n=0.700 d_act=0.0000 loss=-0.0695
update=112 steps=694272 elapsed=496s effrank_n=0.700 d_act=0.0000 loss=0.0218
update=113 steps=700416 elapsed=500s effrank_n=0.699 d_act=0.0000 loss=-0.1366
update=114 steps=706560 elapsed=505s effrank_n=0.700 d_act=0.0000 loss=-0.0060
update=115 steps=712704 elapsed=509s effrank_n=0.695 d_act=0.0000 loss=-0.0474
update=116 steps=718848 elapsed=514s effrank_n=0.697 d_act=0.0000 loss=-0.0285
update=117 steps=724992 elapsed=518s effrank_n=0.707 d_act=0.0000 loss=0.0009
update=118 steps=731136 elapsed=522s effrank_n=0.699 d_act=0.0000 loss=0.0349
update=119 steps=737280 elapsed=527s effrank_n=0.700 d_act=0.0000 loss=-0.0055
update=120 steps=743424 elapsed=531s effrank_n=0.696 d_act=0.0000 loss=-0.0547
update=121 steps=749568 elapsed=536s effrank_n=0.701 d_act=0.0000 loss=0.0143
update=122 steps=755712 elapsed=540s effrank_n=0.698 d_act=-0.0000 loss=-0.0636
update=123 steps=761856 elapsed=544s effrank_n=0.695 d_act=0.0000 loss=-0.2011
update=124 steps=768000 elapsed=549s effrank_n=0.693 d_act=0.0000 loss=0.0027
update=125 steps=774144 elapsed=553s effrank_n=0.696 d_act=0.0000 loss=-0.1511
update=126 steps=780288 elapsed=558s effrank_n=0.700 d_act=0.0000 loss=-0.0571
update=127 steps=786432 elapsed=562s effrank_n=0.697 d_act=0.0000 loss=0.0134
update=128 steps=792576 elapsed=566s effrank_n=0.693 d_act=0.0000 loss=0.0040
update=129 steps=798720 elapsed=571s effrank_n=0.690 d_act=0.0000 loss=-0.0032
update=130 steps=804864 elapsed=575s effrank_n=0.689 d_act=0.0000 loss=-0.0792
update=131 steps=811008 elapsed=580s effrank_n=0.687 d_act=0.0000 loss=-0.0920
update=132 steps=817152 elapsed=584s effrank_n=0.685 d_act=0.0000 loss=-0.0310
update=133 steps=823296 elapsed=589s effrank_n=0.688 d_act=0.0000 loss=0.0175
update=134 steps=829440 elapsed=593s effrank_n=0.689 d_act=0.0000 loss=-0.0020
update=135 steps=835584 elapsed=597s effrank_n=0.694 d_act=0.0000 loss=-0.0903
update=136 steps=841728 elapsed=602s effrank_n=0.690 d_act=0.0000 loss=-0.0774
probe: collecting 200 steps...
---
effrank_n:        0.6899
probe_acc:        0.2500
d_act:            0.0000
training_seconds: 601.8
total_seconds:    603.5
num_steps:        841728
num_agents:       12
reward_type:      individual
use_contrastive:  False
assign_roles:     True
num_roles:        3
probe_chance:     0.333
